Value,year,month
1.15,1878,5
1.56,1878,6
1.15,1878,7
0.79,1878,8
-1.39,1878,9
-0.83,1878,10
-0.02,1878,11
0.31,1878,12
0.08,1879,1
0.05,1879,2
0.34,1879,3
0.82,1879,4
-0.86,1879,5
-0.45,1879,6
-1.22,1879,7
0.02,1879,8
-0.2,1879,9
0.25,1879,10
-0.05,1879,11
0.06,1879,12
-0.25,1880,1
-0.66,1880,2
-0.97,1880,3
-1.59,1880,4
-2.62,1880,5
-1.33,1880,6
-1.47,1880,7
-1.4,1880,8
-1.28,1880,9
-0.49,1880,10
0,1880,11
-0.21,1880,12
-0.05,1881,1
0.56,1881,2
0.62,1881,3
1.64,1881,4
0.85,1881,5
0.8,1881,6
-0.44,1881,7
-0.3,1881,8
0.04,1881,9
-0.17,1881,10
0.69,1881,11
-0.49,1881,12
-1.8,1882,1
-2.26,1882,2
-2.62,1882,3
-2.32,1882,4
-1.22,1882,5
-0.65,1882,6
-0.96,1882,7
-0.71,1882,8
-1.18,1882,9
-0.78,1882,10
-0.47,1882,11
0.44,1882,12
-0.35,1883,1
-1.2,1883,2
-1.36,1883,3
-0.62,1883,4
-0.26,1883,5
0.2,1883,6
-1.26,1883,7
-1.61,1883,8
-1.64,1883,9
-1.63,1883,10
-1,1883,11
-0.8,1883,12
-1.09,1884,1
-1.77,1884,2
-1.66,1884,3
-0.52,1884,4
0.16,1884,5
1.26,1884,6
1.35,1884,7
1.27,1884,8
0.21,1884,9
0.71,1884,10
1.28,1884,11
1.53,1884,12
1.64,1885,1
1.14,1885,2
1.56,1885,3
1.7,1885,4
1.78,1885,5
1.86,1885,6
1.52,1885,7
0.89,1885,8
1.11,1885,9
1.49,1885,10
0.79,1885,11
0.6,1885,12
0.66,1886,1
0.83,1886,2
0.51,1886,3
0.45,1886,4
-0.17,1886,5
-0.17,1886,6
-0.37,1886,7
-0.93,1886,8
-0.76,1886,9
-0.72,1886,10
-0.46,1886,11
0.18,1886,12
0.14,1887,1
0.22,1887,2
0.12,1887,3
0.01,1887,4
-0.23,1887,5
-0.26,1887,6
-1.39,1887,7
-1.81,1887,8
-2.04,1887,9
-1.52,1887,10
-0.82,1887,11
-0.45,1887,12
-0.57,1888,1
-0.45,1888,2
-0.21,1888,3
0.33,1888,4
1.08,1888,5
2.16,1888,6
1.36,1888,7
0.39,1888,8
-0.42,1888,9
-0.04,1888,10
-0.09,1888,11
