Value,year,month
-1.44,1975,8
-1.55,1975,9
-1.49,1975,10
-1.62,1975,11
-1.41,1975,12
-0.95,1976,1
-0.99,1976,2
-1.39,1976,3
-1.38,1976,4
-1.02,1976,5
-1.15,1976,6
0.17,1976,7
0.98,1976,8
0.68,1976,9
1.1,1976,10
1.41,1976,11
1.34,1976,12
1.33,1977,1
1.48,1977,2
0.54,1977,3
-0.29,1977,4
-0.35,1977,5
-0.01,1977,6
-0.09,1977,7
0.01,1977,8
-0.64,1977,9
-0.74,1977,10
-0.33,1977,11
0.03,1977,12
0.63,1978,1
0.93,1978,2
1.07,1978,3
0.97,1978,4
0.71,1978,5
0.33,1978,6
-1.49,1978,7
-0.81,1978,8
-0.75,1978,9
0.15,1978,10
0.06,1978,11
-0.45,1978,12
-0.34,1979,1
-1.21,1979,2
-0.78,1979,3
-0.25,1979,4
0.45,1979,5
0.19,1979,6
0.3,1979,7
0.21,1979,8
0.88,1979,9
1.15,1979,10
0.61,1979,11
0.12,1979,12
0.11,1980,1
0.71,1980,2
0.58,1980,3
0.59,1980,4
0.57,1980,5
-0.73,1980,6
-0.3,1980,7
0.17,1980,8
-0.08,1980,9
1.07,1980,10
0.78,1980,11
0.51,1980,12
1.23,1981,1
1.34,1981,2
1.18,1981,3
1.08,1981,4
1.33,1981,5
1.91,1981,6
0.69,1981,7
0.08,1981,8
0.48,1981,9
0.04,1981,10
0.58,1981,11
0.69,1981,12
0.28,1982,1
-0.09,1982,2
-0.36,1982,3
-0.71,1982,4
-1.11,1982,5
-0.91,1982,6
0.04,1982,7
0.03,1982,8
0.64,1982,9
0.26,1982,10
-0.48,1982,11
0.32,1982,12
0.45,1983,1
1.06,1983,2
1.65,1983,3
1.27,1983,4
1,1983,5
1.8,1983,6
2.28,1983,7
1.29,1983,8
0.58,1983,9
0.72,1983,10
1.28,1983,11
1.74,1983,12
1.65,1984,1
1.31,1984,2
1.58,1984,3
0.9,1984,4
0.94,1984,5
-0.15,1984,6
-0.31,1984,7
0.18,1984,8
0.32,1984,9
0.51,1984,10
0.68,1984,11
0.6,1984,12
0.99,1985,1
0.61,1985,2
-0.31,1985,3
-0.51,1985,4
-0.88,1985,5
-0.02,1985,6
0.48,1985,7
0.2,1985,8
0.27,1985,9
0.27,1985,10
-0.45,1985,11
0.45,1985,12
1.08,1986,1
1.6,1986,2
1.65,1986,3
1.09,1986,4
0.78,1986,5
0.65,1986,6
1.03,1986,7
-0.06,1986,8
0.09,1986,9
1.02,1986,10
1.7,1986,11
1.77,1986,12
1.54,1987,1
1.57,1987,2
1.36,1987,3
1.36,1987,4
0.82,1987,5
0.2,1987,6
1.4,1987,7
1.87,1987,8
1.58,1987,9
0.83,1987,10
1.09,1987,11
0.95,1987,12
0.4,1988,1
0.52,1988,2
0.5,1988,3
0.32,1988,4
0.19,1988,5
0.09,1988,6
-0.28,1988,7
-0.75,1988,8
-0.9,1988,9
-0.37,1988,10
0.05,1988,11
-0.01,1988,12
-1.02,1989,1
-1.3,1989,2
-1.16,1989,3
-0.44,1989,4
-0.14,1989,5
0.14,1989,6
0.54,1989,7
-0.41,1989,8
-0.45,1989,9
-0.42,1989,10
-0.57,1989,11
-0.03,1989,12
-0.31,1990,1
-1.17,1990,2
-1.2,1990,3
-0.16,1990,4
-0.31,1990,5
-0.24,1990,6
-0.09,1990,7
-0.28,1990,8
-0.17,1990,9
-1.02,1990,10
-1.65,1990,11
-2.08,1990,12
-1.53,1991,1
-0.99,1991,2
-1.21,1991,3
-1.53,1991,4
-1.58,1991,5
-2.18,1991,6
-1.44,1991,7
-0.35,1991,8
0.42,1991,9
0.41,1991,10
0.69,1991,11
0,1991,12
0.21,1992,1
0.2,1992,2
0.18,1992,3
0.52,1992,4
1.25,1992,5
1.24,1992,6
1.53,1992,7
0.99,1992,8
0.56,1992,9
1.3,1992,10
1.22,1992,11
0.44,1992,12
-0.22,1993,1
0.11,1993,2
0.25,1993,3
1.04,1993,4
1.74,1993,5
1.96,1993,6
1.45,1993,7
1.92,1993,8
1.21,1993,9
1.36,1993,10
1.15,1993,11
0.79,1993,12
0.88,1994,1
0.38,1994,2
0.28,1994,3
0.52,1994,4
0.48,1994,5
-0.17,1994,6
-0.89,1994,7
-0.83,1994,8
-1.41,1994,9
-1.04,1994,10
-1.89,1994,11
-2.08,1994,12
-0.95,1995,1
-0.02,1995,2
0.27,1995,3
0.37,1995,4
0.72,1995,5
0.69,1995,6
0.88,1995,7
-0.15,1995,8
1.12,1995,9
0.32,1995,10
-0.13,1995,11
0.48,1995,12
0.89,1996,1
0.8,1996,2
0.68,1996,3
1.37,1996,4
1.87,1996,5
1.08,1996,6
0.42,1996,7
-0.66,1996,8
0.03,1996,9
0.26,1996,10
0.24,1996,11
-0.07,1996,12
0.34,1997,1
0.13,1997,2
0.21,1997,3
0.67,1997,4
1.36,1997,5
2.24,1997,6
1.43,1997,7
2.23,1997,8
1.67,1997,9
1.62,1997,10
1.35,1997,11
0.8,1997,12
0.92,1998,1
1.38,1998,2
1.23,1998,3
0.05,1998,4
-0.53,1998,5
-0.53,1998,6
-1.03,1998,7
-0.8,1998,8
-1.65,1998,9
-2.14,1998,10
-0.96,1998,11
-0.98,1998,12
-0.75,1999,1
-1.14,1999,2
-1.35,1999,3
-1.87,1999,4
-2.27,1999,5
-2.37,1999,6
-1.97,1999,7
-1.73,1999,8
-2.16,1999,9
-2.57,1999,10
-2.28,1999,11
-1.99,1999,12
-2.18,2000,1
-1.44,2000,2
-0.89,2000,3
-0.67,2000,4
-0.63,2000,5
-0.68,2000,6
-1.31,2000,7
-1.57,2000,8
-1.38,2000,9
-1.46,2000,10
-1.11,2000,11
-0.16,2000,12
0.48,2001,1
-0.12,2001,2
-0.54,2001,3
-1.25,2001,4
-1.11,2001,5
-1.28,2001,6
-2.31,2001,7
-1.72,2001,8
-2.12,2001,9
-1.89,2001,10
-1.5,2001,11
-1.08,2001,12
-0.37,2002,1
-1.47,2002,2
-1.23,2002,3
-1.32,2002,4
-1.59,2002,5
-1.12,2002,6
-0.91,2002,7
-0.03,2002,8
-0.31,2002,9
-0.33,2002,10
0.9,2002,11
1.51,2002,12
1.37,2003,1
0.83,2003,2
0.85,2003,3
0.15,2003,4
0,2003,5
-0.59,2003,6
0.1,2003,7
0.59,2003,8
-0.36,2003,9
0.54,2003,10
-0.42,2003,11
-0.59,2003,12
-0.39,2004,1
-0.27,2004,2
-0.19,2004,3
-0.12,2004,4
0.41,2004,5
-0.37,2004,6
-0.13,2004,7
0.18,2004,8
-0.19,2004,9
-0.68,2004,10
-1.24,2004,11
-0.71,2004,12
-0.31,2005,1
0.06,2005,2
0.52,2005,3
0.17,2005,4
0.99,2005,5
0.45,2005,6
-0.04,2005,7
-0.5,2005,8
-0.95,2005,9
-1.85,2005,10
-1.73,2005,11
0.01,2005,12
0.61,2006,1
0.35,2006,2
-0.71,2006,3
-0.44,2006,4
-0.41,2006,5
0.1,2006,6
0.28,2006,7
-0.76,2006,8
-1.57,2006,9
-0.41,2006,10
-0.67,2006,11
-0.29,2006,12
-0.47,2007,1
-0.58,2007,2
-1.09,2007,3
-0.59,2007,4
-0.52,2007,5
-0.3,2007,6
0.1,2007,7
0.04,2007,8
-0.99,2007,9
-1.95,2007,10
-1.25,2007,11
-0.97,2007,12
-1.54,2008,1
-1.38,2008,2
-1.32,2008,3
-1.99,2008,4
-1.91,2008,5
-1.88,2008,6
-1.74,2008,7
-1.8,2008,8
-1.92,2008,9
-1.63,2008,10
-1.33,2008,11
-1.27,2008,12
-1.69,2009,1
-1.73,2009,2
-1.98,2009,3
-2.13,2009,4
-1.32,2009,5
-0.68,2009,6
-0.75,2009,7
-0.32,2009,8
0.15,2009,9
-0.09,2009,10
-0.88,2009,11
-0.31,2009,12
0.23,2010,1
0.15,2010,2
-0.23,2010,3
-0.26,2010,4
-0.32,2010,5
-0.82,2010,6
-1.93,2010,7
-2.26,2010,8
-2.19,2010,9
-1.49,2010,10
-1.51,2010,11
-1.76,2010,12
-1.63,2011,1
-1.5,2011,2
-1.36,2011,3
-1.25,2011,4
-0.83,2011,5
-1.12,2011,6
-2.37,2011,7
-2.29,2011,8
-2.44,2011,9
-1.87,2011,10
-2.88,2011,11
-2.13,2011,12
-1.64,2012,1
-1.29,2012,2
-1.54,2012,3
-0.9,2012,4
-2.07,2012,5
-1.41,2012,6
-2.13,2012,7
-2.32,2012,8
-2.74,2012,9
-1.13,2012,10
-0.54,2012,11
-1.35,2012,12
-1.25,2013,1
-1.65,2013,2
-1.72,2013,3
-0.74,2013,4
-0.57,2013,5
-1.31,2013,6
-1.33,2013,7
-1.48,2013,8
-1,2013,9
-1.49,2013,10
-1.09,2013,11
-1.12,2013,12
-0.67,2014,1
-0.62,2014,2
0.14,2014,3
0.4,2014,4
1.04,2014,5
-0.12,2014,6
0.15,2014,7
0.16,2014,8
0.59,2014,9
1.35,2014,10
1.29,2014,11
1.91,2014,12
1.73,2015,1
1.56,2015,2
2,2015,3
1.44,2015,4
1.2,2015,5
1.54,2015,6
1.84,2015,7
1.56,2015,8
1.94,2015,9
