"","start","finish","variable","value"
"1",1950,1960,"mean",0.0204545454545455
"2",1951,1961,"mean",-0.0148989898989899
"3",1952,1962,"mean",-0.0207070707070707
"4",1953,1963,"mean",-0.0484848484848485
"5",1954,1964,"mean",-0.0525252525252525
"6",1955,1965,"mean",0.0351010101010101
"7",1956,1966,"mean",0.0962121212121212
"8",1957,1967,"mean",0.0952020202020202
"9",1958,1968,"mean",0.158585858585859
"10",1959,1969,"mean",0.210606060606061
"11",1960,1970,"mean",0.203535353535353
"12",1961,1971,"mean",0.202525252525252
"13",1962,1972,"mean",0.198484848484848
"14",1963,1973,"mean",0.197222222222222
"15",1964,1974,"mean",0.184343434343434
"16",1965,1975,"mean",0.211111111111111
"17",1966,1976,"mean",0.152777777777778
"18",1967,1977,"mean",0.0606060606060606
"19",1968,1978,"mean",0.107575757575758
"20",1969,1979,"mean",0.0962121212121212
"21",1970,1980,"mean",0.076010101010101
"22",1971,1981,"mean",0.047979797979798
"23",1972,1982,"mean",0.0497474747474747
"24",1973,1983,"mean",0.0984848484848485
"25",1974,1984,"mean",0.0914141414141414
"26",1975,1985,"mean",0.0719696969696969
"27",1976,1986,"mean",0.0502525252525252
"28",1977,1987,"mean",0.0148989898989899
"29",1978,1988,"mean",0.0174242424242424
"30",1979,1989,"mean",0.00959595959595959
"31",1980,1990,"mean",0.0232323232323232
"32",1981,1991,"mean",0.0308080808080808
"33",1982,1992,"mean",0.103787878787879
"34",1983,1993,"mean",0.0376262626262626
"35",1984,1994,"mean",0.0452020202020202
"36",1985,1995,"mean",0.0525252525252525
"37",1986,1996,"mean",0.0732323232323232
"38",1987,1997,"mean",0.0893939393939394
"39",1988,1998,"mean",0.0795454545454545
"40",1989,1999,"mean",0.117171717171717
"41",1990,2000,"mean",0.138131313131313
"42",1991,2001,"mean",0.137121212121212
"43",1992,2002,"mean",0.211363636363636
"44",1993,2003,"mean",0.137626262626263
"45",1994,2004,"mean",0.149747474747475
"46",1995,2005,"mean",0.156313131313131
"47",1996,2006,"mean",0.177777777777778
"48",1997,2007,"mean",0.163131313131313
"49",1998,2008,"mean",0.192171717171717
"50",1999,2009,"mean",0.185606060606061
"51",2000,2010,"mean",0.191919191919192
"52",2001,2011,"mean",0.182828282828283
"53",2002,2012,"mean",0.192929292929293
"54",2003,2013,"mean",0.182323232323232
"55",2004,2014,"mean",0.231313131313131
"56",2005,2015,"mean",0.28459595959596
"57",1950,1960,"sd",0.344868778836665
"58",1951,1961,"sd",0.332300150077564
"59",1952,1962,"sd",0.360175813759789
"60",1953,1963,"sd",0.35333459564795
"61",1954,1964,"sd",0.346022166006317
"62",1955,1965,"sd",0.34266924154938
"63",1956,1966,"sd",0.33400984085779
"64",1957,1967,"sd",0.320429803676796
"65",1958,1968,"sd",0.317051382950257
"66",1959,1969,"sd",0.33608974457853
"67",1960,1970,"sd",0.295077904009443
"68",1961,1971,"sd",0.298944314219332
"69",1962,1972,"sd",0.31572334070044
"70",1963,1973,"sd",0.323672983806215
"71",1964,1974,"sd",0.328077013960248
"72",1965,1975,"sd",0.324934730426165
"73",1966,1976,"sd",0.332943790487666
"74",1967,1977,"sd",0.364330506309349
"75",1968,1978,"sd",0.327023714790562
"76",1969,1979,"sd",0.294108823397055
"77",1970,1980,"sd",0.349492144806035
"78",1971,1981,"sd",0.397866868925969
"79",1972,1982,"sd",0.3753218916697
"80",1973,1983,"sd",0.396391634898161
"81",1974,1984,"sd",0.392689659360677
"82",1975,1985,"sd",0.383209431920856
"83",1976,1986,"sd",0.365155826167722
"84",1977,1987,"sd",0.371233323893109
"85",1978,1988,"sd",0.333953280248046
"86",1979,1989,"sd",0.326550027767447
"87",1980,1990,"sd",0.282921547187173
"88",1981,1991,"sd",0.332485738588812
"89",1982,1992,"sd",0.375226810590699
"90",1983,1993,"sd",0.421657788458861
"91",1984,1994,"sd",0.44613775389221
"92",1985,1995,"sd",0.427557855188034
"93",1986,1996,"sd",0.469795828166519
"94",1987,1997,"sd",0.437522811009304
"95",1988,1998,"sd",0.414691105649828
"96",1989,1999,"sd",0.410492708112281
"97",1990,2000,"sd",0.360904147595734
"98",1991,2001,"sd",0.348071936816986
"99",1992,2002,"sd",0.356934177522726
"100",1993,2003,"sd",0.395274046149951
"101",1994,2004,"sd",0.415857380142734
"102",1995,2005,"sd",0.396381623828982
"103",1996,2006,"sd",0.335505711400364
"104",1997,2007,"sd",0.311699795363246
"105",1998,2008,"sd",0.321868458746222
"106",1999,2009,"sd",0.345053595070497
"107",2000,2010,"sd",0.336260270377881
"108",2001,2011,"sd",0.328365979035363
"109",2002,2012,"sd",0.328670256455742
"110",2003,2013,"sd",0.330874441203203
"111",2004,2014,"sd",0.313847619004627
"112",2005,2015,"sd",0.290192456957962
