"","mean","sd","2.5%","50%","97.5%","Rhat"
"Pc[1]",0.236974182691638,0.0876680879610415,0.106058499764152,0.223154733104304,0.438997867883484,1.06
"Pc[2]",0.358574915874688,0.111384982571417,0.181048908411681,0.342806559578663,0.62274168830524,1.03
"Pc[3]",0.358866230206691,0.105851980007395,0.170397878610911,0.350761378414867,0.581597479049552,1
"Pc[4]",0.108191739866117,0.052060262409808,0.0418091473878782,0.0974208951902711,0.241618305598902,1.04
"Pc[5]",0.493556859890315,0.102923200829401,0.288936222534363,0.493854300694035,0.707866043338307,1.08
"Pc[6]",0.314681741720358,0.0976796485378517,0.14260718093037,0.307559393868467,0.530355129049942,1.14
"Pc[7]",0.0899269032228584,0.0406838873779592,0.0317611135721867,0.0833375155556382,0.187733737027651,1.01
"Pc[8]",0.624277304855053,0.102414055811723,0.413398456918564,0.631813541037955,0.798898085762785,1.02
"Pc[9]",0.496800665844814,0.102789973744675,0.287732941142291,0.5011603384405,0.688780488642438,1.06
"Pc[10]",0.2249930702309,0.10811896935172,0.0662562139011339,0.207207132829964,0.483678923776676,1
"Pc[11]",0.238206939996859,0.0910748159673756,0.0901499374807216,0.226601067974229,0.446025089372242,1.03
"Pc[12]",0.187025677556672,0.0818325852903197,0.0701978632020131,0.172971869281301,0.388491364794615,1.07
"Pc[13]",0.190257269118295,0.0960156965433447,0.0556716349575226,0.172119178577769,0.431654838809421,1.03
"Pc[14]",0.445499597707271,0.117101761747398,0.243288468734024,0.438242448278162,0.688069665655317,1.04
"Pc[15]",0.269542659174881,0.0922268529825458,0.113619920976302,0.261329219454679,0.477266253578222,1.04
"Pc[16]",0.279213316780084,0.0846114103332152,0.131968885368202,0.272143118473536,0.465294064823479,1.01
"Pc[17]",0.039654617191019,0.0172547556357065,0.0168491846160808,0.0362667370368324,0.0814889843396401,1.01
"Pc[18]",0.512767652044771,0.121389575146384,0.277998901333226,0.512632769096788,0.758184867207813,1.03
"Pc[19]",0.429234273292643,0.105648735877785,0.241525882587969,0.426762588550604,0.655073696315836,1
"Pc[20]",0.397530145636506,0.101021479156327,0.220460818309707,0.3906580093631,0.595717600971159,1.01
"Pc[21]",0.0892408747492635,0.0390070387862543,0.0359576963493687,0.0820299929067157,0.183191331398295,1.01
"Pc[22]",0.239808692532146,0.076193708712917,0.113832976418219,0.230864909775505,0.404403615888738,1.02
"Pc[23]",0.0824127096153281,0.0331602516539371,0.0346920748640706,0.0769449948110154,0.159511589211634,1
"Pc[24]",0.166887745099762,0.055767454979501,0.0770135505722459,0.161165606813358,0.28989953792744,1.03
"Pc[25]",0.268702289514023,0.0861909306262266,0.127793301884171,0.259326540563752,0.456637305165192,1.03
"Pc[26]",0.400010339815688,0.0953723702050793,0.220507298648002,0.397397208805541,0.585873652083544,1.02
"Pc[27]",0.158192737480986,0.059081438975623,0.0710745016012069,0.149179405962909,0.30010999230442,1.02
"Pc[28]",0.285867263367911,0.0818956315374183,0.149445537865165,0.278058598476618,0.464088360683683,1.03
"Pc[29]",0.29156116916252,0.0778743991917525,0.15873658230483,0.286084337253227,0.456942651197439,1.03
"Pc[30]",0.276257047373235,0.0893514103087626,0.127862303068456,0.266234676426809,0.474747952721248,1
"Pc[31]",0.258462024448239,0.0822822154347928,0.123834634022977,0.25200197644019,0.444750033779676,1.03
"Pc[32]",0.430722159168949,0.119655671755522,0.22056296420231,0.424902229495297,0.6878325905378,1.03
"Pc[33]",0.13335003855731,0.0477298033780958,0.0640675444682345,0.124383420945885,0.249338178554321,1.01
"Pc[34]",0.333896731642233,0.0855890319027345,0.175823802938075,0.331679568722277,0.502933384112436,1.03
"Pc[35]",0.30651043245631,0.117088077967144,0.125643205756303,0.291747647000587,0.573669815275098,1.01
"Pc[36]",0.432783531633553,0.118897809301116,0.216421880566663,0.429896493486832,0.667570951054916,1.02
"Pc[37]",0.480112099359245,0.117308662422487,0.251881502414632,0.478829465532592,0.715121473951669,1.07
"Pc[38]",0.509782908619938,0.0984293451142262,0.30640028124407,0.51424833240252,0.68876064491721,1.01
"Pc[39]",0.6546223612126,0.0972192920499376,0.459497836721188,0.657921465025077,0.833853024861516,1
"Pc[40]",0.502133845216147,0.102964700292398,0.292914552411403,0.512485580636235,0.67775807756742,1.05
"Pc[41]",0.495899924461531,0.120834930969907,0.273677782039383,0.489274595928139,0.748988541025035,1.06
"Pc[42]",0.281830138141971,0.0976999434608296,0.12742911606714,0.269643410496293,0.505931624773138,1
"Pc[43]",0.29729252740556,0.0922063478616621,0.143646228018188,0.288232576634176,0.501321332303928,1.12
"Pc[44]",0.108097232010116,0.0518754382997086,0.0375304043771499,0.0968304206442638,0.230583065548358,1.05
"Pc[45]",0.0849121339372705,0.0443161457783952,0.0313635407480931,0.0752245499629297,0.202383878864738,1.02
"Pc[46]",0.152026155052496,0.0743896552812269,0.0507092567069749,0.139234721679451,0.334511839382982,1.02
"Pc[47]",0.0334727592543144,0.0147300174823456,0.0131793948450671,0.0306325816078173,0.0695202232456155,1.01
"Pc[48]",0.22979168486095,0.0810707367198453,0.102909309272672,0.218331395587551,0.410166459869698,1.01
"Pc[49]",0.11622711387925,0.0480424238121655,0.0462998647411902,0.108042638533614,0.233013420667723,1.01
"Pc[50]",0.209275767218556,0.0659507788824127,0.103400652476625,0.201106833636031,0.360107331976088,1.01
"Pc[51]",0.149892175793482,0.0578311792836108,0.0613430433577769,0.142145894593934,0.288300772721777,1.01
"Pc[52]",0.19151885824519,0.0738886884364266,0.0771095713968301,0.181706730345539,0.357842206774157,1.02
"Pc[53]",0.0409955346973493,0.0179046837493611,0.0164329870940548,0.037510476490863,0.0864910531699382,1.01
"Pc[54]",0.0717443588155727,0.028431444920355,0.0304350693281369,0.0670292426940542,0.139491178694246,1
"Pc[55]",0.284908488828506,0.0821097692537716,0.144645523298452,0.277941451571934,0.468524960851565,1
"Pc[56]",0.18963505146937,0.0634905356872606,0.0910252798719557,0.181353368957629,0.342539750453981,1.01
"Pc[57]",0.186941780982331,0.066088781045182,0.0839246491477834,0.178092556173554,0.338381135699534,1.02
"Pc[58]",0.239965701359119,0.0753022981301088,0.116947140974957,0.231553413509469,0.405235856045217,1
"Pc[59]",0.252543038882375,0.0807718786708733,0.120952850226271,0.242892707665273,0.433385747774634,1.01
"Pc[60]",0.152266229842875,0.0539090935419295,0.0695041740756697,0.144183039368933,0.27923666572586,1.02
"Pc[61]",0.228295410485976,0.0840020397775368,0.0990779360354287,0.217656879623964,0.421063957790706,1.01
"Pc[62]",0.196881881410246,0.0689293317249222,0.0891798926593949,0.186796746838728,0.357555868906604,1
"Pc[63]",0.157553212663815,0.0649262262866595,0.0621819864232599,0.148060088906365,0.310005044758228,1.02
"Pc[64]",0.134316742477277,0.0496993291320758,0.0568104099120629,0.128179102937268,0.248723065278531,1
"Pc[65]",0.151576653974981,0.0571268866156192,0.0657698729224055,0.142307052324449,0.288415812721745,1
"Pc[66]",0.185780512889793,0.0613868090730453,0.0877865777439945,0.178423198652866,0.325070221642318,1.01
"Pc[67]",0.218213636470027,0.0731490372944674,0.104060237085286,0.208021041508147,0.387399864282494,1.01
"Pc[68]",0.0294805813336604,0.0133202091987405,0.0119300893004854,0.0266321571741422,0.062037896437102,1.01
"Pc[69]",0.151314844255449,0.055087304427464,0.0645097273936691,0.143581501382419,0.275978401212491,1
"Pc[70]",0.165240310998243,0.0646284392883797,0.0712750902870741,0.15395211322093,0.319732045884397,1.01
"Pc[71]",0.255278897105228,0.0845281565088198,0.122840198820149,0.243583837155314,0.456415326809315,1.03
"Pc[72]",0.231892833003562,0.0762416324016159,0.107710209925445,0.222493550528734,0.405841682162722,1.01
"Pc[73]",0.0104628779301677,0.00514296163432074,0.00391486212204879,0.00936204687204033,0.0238628338098671,1.01
"Pc[74]",0.0943123375594073,0.0389165823357391,0.0389786218257732,0.0881097296530051,0.185167318482322,1.02
"Pc[75]",0.148818719625384,0.0574542164961773,0.0672301152129483,0.138278059764044,0.290681265310814,1.01
"Pc[76]",0.229941201472724,0.0729123212233026,0.109090303751589,0.223069853748786,0.399065111868912,1.01
"Pc[77]",0.161234588059256,0.0602308520286675,0.0701082928898932,0.15346681288618,0.304449521137214,1
"Pc[78]",0.260765573047494,0.0887147121227916,0.119269167206669,0.248928329249538,0.457974329661847,1.01
"Pc[79]",0.12997915661403,0.0478759487464215,0.0576550101738884,0.123121779240747,0.243881788271532,1
"Pc[80]",0.0597393510584284,0.0255955532812047,0.0242652268404701,0.0554106963174974,0.124286522399998,1
"Pc[81]",0.235045302214187,0.0751251103991789,0.107956291717124,0.227070887665749,0.39936067310409,1.01
"Pc[82]",0.0943141783320547,0.0411258747200992,0.0352398862271787,0.0870978713145791,0.189444341138649,1
"Pc[83]",0.20340069669532,0.0720441040516376,0.0925125861484705,0.194281287065579,0.365037614303815,1
"Pc[84]",0.0823744098984077,0.0333605107302349,0.0355525925441939,0.0767330355598761,0.164161370951994,1.01
"Pc[85]",0.0388645876832013,0.017053704043282,0.015685294362912,0.0352875888905462,0.0818407825435125,1.02
"Pc[86]",0.150462319278516,0.0590339120565865,0.0589448873079791,0.141890380532273,0.286237312408992,1.01
"Pc[87]",0.254052233867533,0.0837939969548696,0.120185353503479,0.245334059579954,0.440382718305736,1.01
"Pc[88]",0.196001236407694,0.0753693420571292,0.0834519341285823,0.184640458982686,0.373527813872461,1.02
"Pc[89]",0.0673199940327323,0.0288764937540584,0.0249831390389082,0.0629212161387727,0.136479986369072,1.01
"Pc[90]",0.0416417013369822,0.0177527683201783,0.0165715701977306,0.0385133100150013,0.0853431091025121,1.01
"Pc[91]",0.117597941591961,0.0467072990138548,0.0524991862278867,0.108260044217407,0.231335238817275,1
"Pc[92]",0.153204470927189,0.0568103854045911,0.0683098972536298,0.144083979957209,0.28859278228092,1
"Pc[93]",0.130254252474543,0.0496202527001776,0.0571884552262027,0.121267524444378,0.248106085385361,1.01
"Pc[94]",0.0339703012996299,0.0141611733801471,0.0135865809648429,0.0313198964334757,0.0690483960786599,1.02
"Pc[95]",0.188674620948024,0.0696021551430942,0.0832830128885134,0.178893457558101,0.352013336833161,1
